통계년월,통계시도명,통계시군구명,수급자구분,성별,연령구간,수급자수
201905,서울특별시,성동구,조건부수급자,여성,50~59세,200
201905,서울특별시,성동구,조건부수급자,여성,60~64세,65
201905,서울특별시,성동구,조건부수급자,여성,65~69세,23
201905,서울특별시,성동구,조건부수급자,여성,70~74세,11
201905,서울특별시,성동구,조건부수급자,여성,75~79세,9
201905,서울특별시,성동구,조건부수급자,여성,80~89세,26
201905,서울특별시,성동구,조건부수급자,여성,90세이상,1
201905,서울특별시,성동구,시설수급자,남성,7세미만,17
201905,서울특별시,성동구,시설수급자,남성,7~12세,12
201905,서울특별시,성동구,시설수급자,남성,13~15세,8
201905,서울특별시,성동구,일반수급자,남성,30~39세,85
201905,서울특별시,성동구,시설수급자,남성,16~18세,10
201905,서울특별시,성동구,시설수급자,남성,40~49세,1
201905,서울특별시,성동구,시설수급자,남성,50~59세,6
201905,서울특별시,성동구,시설수급자,남성,60~64세,2
201905,서울특별시,성동구,시설수급자,남성,65~69세,3
201905,서울특별시,성동구,시설수급자,남성,70~74세,1
201905,서울특별시,성동구,시설수급자,남성,75~79세,3
201905,서울특별시,성동구,시설수급자,남성,80~89세,1
201905,서울특별시,성동구,시설수급자,여성,7세미만,8
201905,서울특별시,성동구,시설수급자,여성,7~12세,6
201905,서울특별시,성동구,시설수급자,여성,16~18세,4
201905,서울특별시,성동구,일반수급자,남성,40~49세,262
201905,서울특별시,성동구,시설수급자,여성,50~59세,2
201905,서울특별시,성동구,시설수급자,여성,70~74세,3
201905,서울특별시,성동구,시설수급자,여성,75~79세,2
201905,서울특별시,성동구,시설수급자,여성,80~89세,22
201905,서울특별시,성동구,시설수급자,여성,90세이상,11
201905,서울특별시,성동구,특례수급자,남성,13~15세,1
201905,서울특별시,성동구,일반수급자,남성,50~59세,609
201905,서울특별시,성동구,특례수급자,남성,16~18세,1
201905,서울특별시,성동구,특례수급자,남성,19~29세,4
201905,서울특별시,성동구,특례수급자,남성,30~39세,2
201905,서울특별시,성동구,특례수급자,남성,40~49세,10
201905,서울특별시,성동구,특례수급자,남성,50~59세,31
201905,서울특별시,성동구,특례수급자,남성,60~64세,13
201905,서울특별시,성동구,특례수급자,남성,65~69세,3
201905,서울특별시,성동구,특례수급자,남성,70~74세,6
201905,서울특별시,성동구,특례수급자,남성,75~79세,7
201905,서울특별시,성동구,특례수급자,남성,80~89세,6
201905,서울특별시,성동구,일반수급자,남성,7세미만,49
201905,서울특별시,성동구,일반수급자,남성,60~64세,332
201905,서울특별시,성동구,특례수급자,여성,16~18세,3
201905,서울특별시,성동구,특례수급자,여성,19~29세,5
201905,서울특별시,성동구,특례수급자,여성,30~39세,2
201905,서울특별시,성동구,특례수급자,여성,40~49세,4
201905,서울특별시,성동구,특례수급자,여성,50~59세,13
201905,서울특별시,성동구,특례수급자,여성,60~64세,6
201905,서울특별시,성동구,일반수급자,남성,65~69세,312
201905,서울특별시,성동구,특례수급자,여성,65~69세,6
201905,서울특별시,성동구,특례수급자,여성,70~74세,10
201905,서울특별시,성동구,특례수급자,여성,75~79세,9
201905,서울특별시,성동구,특례수급자,여성,80~89세,8
201905,서울특별시,성동구,기타수급자,남성,13~15세,1
201905,서울특별시,성동구,일반수급자,남성,70~74세,272
201905,서울특별시,성동구,일반수급자,남성,75~79세,237
201905,서울특별시,성동구,일반수급자,남성,80~89세,188
201905,서울특별시,성동구,일반수급자,남성,90세이상,18
201905,서울특별시,성동구,일반수급자,여성,7세미만,47
201905,서울특별시,성동구,일반수급자,남성,7~12세,160
